Id_producto,Nombre_producto,Precio_unitario,Stock,Id_categoria
1,HP Pavilion Desktop,1800000,15,1
2,Dell Inspiron 3880,2000000,12,1
3,Lenovo IdeaCentre AIO,2200000,10,1
4,ASUS VivoBook 15,2600000,25,2
5,HP Envy x360,3100000,20,2
6,Acer Aspire 5,2300000,30,2
7,Apple Mac Mini M2,3600000,8,3
8,Intel NUC 11,2900000,10,3
9,Raspberry Pi 4 Kit,350000,40,3
10,Teclado Mecánico Logitech,250000,50,4
11,Mouse Inalámbrico Logitech,150000,45,4
12,Webcam HD 1080p,200000,35,4
13,Memoria RAM 16GB DDR4,300000,60,5
14,Disco SSD 1TB,450000,40,5
15,Fuente de poder 600W,280000,20,5
16,"Monitor 24"" Samsung",700000,18,6
17,Auriculares Gamer HyperX,350000,25,6
18,Router TP-Link Archer C6,220000,30,7
19,Switch de Red 8 puertos,180000,20,7
20,Microsoft Office 365,350000,80,8
21,Antivirus Kaspersky 1 Año,90000,90,8
